name,address,citystate,zip,phone,web,email,target_type,target_value,program_type,category,subcategory,alt_name
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,3400 Lees Lane Farnsley Middle School,Louisville KY,40216,"[""(502) 485-8242"", ""(502) 485-6015"", ""(502) 485-6178""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - FARNSLEY MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,9115 Fern Creek Road Fern Creek High School,Louisville KY,40291,"[""(502) 485-8251"", ""(502) 485-6467"", ""(502) 485-6465""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - FERN CREEK TRADITIONAL HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,13700 Sandray Blvd Frost Middle School,Louisville KY,40272,"[""(502) 485-8256"", ""(502) 485-3872"", ""(502) 485-8453""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - FROST MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,5801 Greenwood Road,Louisville KY,40258,"[""(502) 485-8311"", ""(502) 485-6883"", ""(502) 485-8093""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - GREENWOOD ELEMENTARY SCHOOL / PLEASURE RIDGE HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,1700 Norris Place Highland Middle School,Louisville KY,40205,"[""(502) 485-8266"", ""(502) 485-7106"", ""(502) 485-8831""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - HIGHLAND MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,4615 Taylor Blvd Iroquois High School,Louisville KY,40215,"[""(502) 485-8269"", ""(502) 485-8865"", ""(502) 485-8033""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - IROQUOIS HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,9600 Old Six Mile Lane Jeffersontown High School,Louisville KY,40299,"[""(502) 485-8275"", ""(502) 485-6474"", ""(502) 485-8832""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - JEFFERSONTOWN HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,2509 Wilson Avenue Johnson Middle School,Louisville KY,40210,"[""(502) 485-8105"", ""(502) 485-8220"", ""(502) 485-8277""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - JOHNSON TRADITIONAL MIDDLE SCHOOL / BUTLER TRADITIONAL HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,7315 Wesboro Road Kammerer Middle School,Louisville KY,40222,"[""(502) 339-8783"", ""(502) 485-8206"", ""(502) 485-8279""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - KAMMERER MIDDLE SCHOOL / BALLARD HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,8200 Candleworth Drive Lassiter Middle School,Louisville KY,40214,"[""(502) 485-8288"", ""(502) 485-6057"", ""(502) 485-8373""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - LASSITER MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,3307 E Indian Trail,Louisville KY,40213,"[""(502) 485-7193""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - LIBERTY HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,828 S Jackson Street Meyzeek Middle School,Louisville KY,40203,"[""(502) 485-8115"", ""(502) 485-8242"", ""(502) 485-8299""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - MEYZEEK MIDDLE SCHOOL / FARNSLEY MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,6415 Outer Loop Moore High School,Louisville KY,40228,"[""(502) 485-3925"", ""(502) 485-8083""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - MOORE TRADITIONAL HIGH SCHOOL / MOORE TRADITIONAL MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,3741 Pulliam Drive Myers Middle School,Louisville KY,40218,"[""(502) 458-2167"", ""(502) 485-8305"", ""(502) 485-8157""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - MYERS MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,4901 Exeter Avenue Newburg Middle School,Louisville KY,40218,"[""(502) 485-8740"", ""(502) 485-8306"", ""(502) 485-8883""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - NEWBURG MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,121 W Lee Street Noe Middle School,Louisville KY,40208,"[""(502) 485-8055"", ""(502) 485-8307"", ""(502) 485-8056""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - NOE MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,4530 Bellevue Ave Olmsted Academy North,Louisville KY,40215,"[""(502) 485-8841"", ""(502) 485-8331"", ""(502) 485-8381""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - OLMSTED ACADEMY NORTH
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,5650 Southern Parkway Olmsted Academy South,Louisville KY,40214,"[""(502) 485-8842"", ""(502) 485-8270"", ""(502) 485-6971""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - OLMSTED ACADEMY SOUTH
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,724 Denmark Street Semple Elementary School,Louisville KY,40215,"[""(502) 485-8229"", ""(502) 361-7398""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - SEMPLE ELEMENTARY SCHOOL / CHURCHILL PARK REHABILITATION CENTER
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,3510 Goldsmith Lane Seneca High School,Louisville KY,40220,"[""(502) 485-8323"", ""(502) 485-6363""]",http://www.jefferson.k12.ky.us/Programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - SENECA HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,735 Ziegler Street Shelby Elementary School,Louisville KY,40217,"[""(502) 485-8190"", ""(502) 485-8314"", ""(502) 485-8560""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - SHELBY TRADITIONAL ACADEMY / WALLER-WILLIAMS ENVIRONMENTAL SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,8620 Preston Highway Southern High School,Louisville KY,40219,"[""(502) 485-6515"", ""(502) 485-8330"", ""(502) 485-6516""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - SOUTHERN HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,4601 Valley Station Road Stuart Middle School,Louisville KY,40272,"[""(502) 485-3885"", ""(502) 485-8334"", ""(502) 485-8713""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - STUART MIDDLE SCHOOL / PHOENIX SCHOOL OF DISCOVERY (MIDDLE)
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,1501 Rangeland Road Thomas Jefferson Middle School,Louisville KY,40219,"[""(502) 485-3889"", ""(502) 485-8273"", ""(502) 485-6010""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - THOMAS JEFFERSON MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,10200 Dixie Highway,Louisville KY,40272,"[""(502) 485-6780"", ""(502) 485-8339"", ""(502) 485-8666""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - VALLEY HIGH SCHOOL / VALLEY PREPARATORY / PHOENIX SCHOOL OF DISCOVERY (HIGH)
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,330 S Hubbards Lane Waggener High School,Louisville KY,40207,"[""(502) 485-6221"", ""(502) 485-8340"", ""(502) 485-8140""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - WAGGENER TRADITIONAL HIGH SCHOOL / ST MATTHEWS ELEMENTARY SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,2501 Rockford Lane Western High School,Louisville KY,40216,"[""(502) 485-6013"", ""(502) 485-8344"", ""(502) 485-8969""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - WESTERN HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,2201 W Main Street Western Middle School,Louisville KY,40212,"[""(502) 485-8760"", ""(502) 485-8345"", ""(502) 485-8047""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - WESTERN MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,8100 Westport Road Westport Middle School,Louisville KY,40242,"[""(502) 412-7488"", ""(502) 485-8347""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - WESTPORT MIDDLE SCHOOL WESTPORT TAPP
GOODWILL OF SOUTHERN INDIANA,1329 Applegate Lane,"Clarksville, IN",47129,"[""(812) 207-2296"", ""(812) 283-7908"", ""(812) 283-6248""]",http://www.goodwillsi.org,mailto:comments@goodwillsi.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
BLUE RIVER SERVICES,,"Corydon, IN",47112,"[""(812) 738-3198"", ""(812) 738-2408""]",http://www.brsinc.org,mailto:bresdir@brsinc.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,BLUE RIVER SERVICES - HARRISON CENTER
INDIANA DIVISION OF FAMILY RESOURCES - HARRISON COUNTY,2201 Concord Avenue Suite 120,"Corydon, IN",47112,"[""(800) 403-0864""]",http://www.in.gov/fssa/2407.htm,mailto:celeste.king@fssa.in.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,WELFARE TO WORK PROGRAM,IMPACT,
WORKONE REGION 10,101 W Highway 62,"Corydon, IN",47112,"[""(812) 738-8811"", ""(812) 738-8873""]",http://www.workoneregion10.com,mailto:jj@wda-inc.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,WORKONE EMPLOYMENT AND TRAINING SERVICES,WORKONE REGION 10 - CORYDON EXPRESS
"NEIGHBORHOOD PLACE, SOUTH JEFFERSON - LLM",1000 Neighborhood Place,"Fairdale, KY",40118,"[""(502) 363-1435"", ""(502) 363-1424""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
INDIANA DIVISION OF FAMILY RESOURCES - CLARK COUNTY,1021 Youngstown Shopping Center East 10th St Between Main & Nachand,"Jeffersonville, IN",47130,"[""(800) 403-0864"", ""(812) 280-7013""]",http://www.in.gov/fssa/dfr,mailto:Kathy.Cook@fssa.in.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,IMPACT,
WORKONE REGION 10,1613 E Eighth Street,"Jeffersonville, IN",47130,"[""(812) 283-6595"", ""(812) 283-6835""]",http://www.workone10.com,mailto:jj@wda-inc.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,WORKONE EMPLOYMENT AND TRAINING SERVICES,WORKONE REGION 10 - JEFFERSONVILLE EXPRESS
CANAAN COMMUNITY DEVELOPMENT CORPORATION - LLM - 55K,2840 Hikes Lane,Louisville KY,40218,"[""(502) 776-6369"", ""(502) 776-8026""]",http://ccdcky.org,mailto:tleavell@ccdcky.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,YOUTH DEVELOPMENT,SONS OF ISSACHAR AFTERSCHOOL ACADEMY (55K),
CUSTOM QUALITY SERVICES,3401 Jewell Avenue,Louisville KY,40212,"[""(502) 772-7383"", ""(502) 772-7387""]",http://www.customqualityservices.org,mailto:info@customqualityservices.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
DREAMS WITH WINGS,1579 Bardstown Road,Louisville KY,40205,"[""(502) 459-4647"", ""(502) 456-5705""]",http://www.dreamswithwings.org,mailto:info@dreamswithwings.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,SUPPORTED EMPLOYMENT,
GOODWILL INDUSTRIES OF KENTUCKY - BEARGRASS DIVISION,909 E Broadway,Louisville KY,40204,"[""(502) 585-5221"", ""(502) 585-5230""]",http://www.goodwillky.org,mailto:contactus@goodwillky.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,,,
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,546 S First Street,Louisville KY,40202,"[""(502) 485-3400"", ""(502) 485-7501""]",http://www.adulted4u.com,,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT EDUCATION,,JEFFERSON COUNTY PUBLIC SCHOOLS - BROWN SCHOOL / AHRENS EDUCATIONAL RESOURCE CENTER
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,510 W Broadway Ste 701,Louisville KY,40203,"[""(502) 574-4115"", ""(502) 574-4197""]",http://www.ged4u.com,,Target%20Populations,Children/Youth,Job%20Training%20Formats~,CAREER AND LIFE SKILLS EDUCATION,KENTUCKIANA WORKS YOUTH CAREER CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - KENTUCKIANA WORKS YOUTH CAREER CENTER
JOB CORPS,2900 West Broadway Suite 201 Nia Center,Louisville KY,40202,"[""(502) 774-1886"", ""(800) 733-5627"", ""(502) 774-3275""]",http://www.jobcorps.gov,mailto:thompson.francine@jobcorps.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
LOUISVILLE CENTRAL COMMUNITY CENTERS - LLM - 55K,1300 West Muhammad Ali Boulevard 2nd Floor,Louisville KY,40203,"[""(502) 583-8821"", ""(502) 583-8824""]",http://www.lcccnews.org,mailto:rclay@lcccnews.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,WORKING SOLUTIONS,
LOUISVILLE URBAN LEAGUE - LLM - 55K,1535 W Broadway,Louisville KY,40203,"[""(502) 561-6830"", ""(502) 566-3371""]",http://www.lul.org,mailto:jsands@lul.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,CENTER FOR WORKFORCE DEVELOPMENT (55K),
NEIGHBORHOOD PLACE 810 BARRET - LLM,810 Barret Avenue 1st Floor Urban County Government Center,Louisville KY,40204,"[""(502) 574-6638"", ""(502) 574-6320""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
NEIGHBORHOOD PLACE BRIDGES OF HOPE - MABEL WIGGINS CENTER - LLM - 55K,1411 Algonquin Pkwy Mabel Wiggins Center,Louisville KY,40210,"[""(502) 634-6050"", ""(502) 634-6074""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,FAMILY ECONOMIC SUCCESS,
NEIGHBORHOOD PLACE CANE RUN - LLM,3410 Lees Lane,Louisville KY,40216,"[""(502) 485-6810"", ""(502) 485-6818""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
NEIGHBORHOOD PLACE FIRST - LLM,1503 Rangeland Road,Louisville KY,40219,"[""(502) 962-3160"", ""(502) 962-3171""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
NEIGHBORHOOD PLACE NORTHWEST - LLM,4018 West Market Street Shawnee High School,Louisville KY,40212,"[""(502) 485-7230"", ""(502) 485-7251""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
NEIGHBORHOOD PLACE SOUTH CENTRAL - LLM,4255 Hazelwood Avenue,Louisville KY,40215,"[""(502) 485-7130"", ""(502) 485-7140""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,KENTUCKIANA WORKS,
NEIGHBORHOOD PLACE UJIMA - LLM,3610 Bohne Avenue,Louisville KY,40211,"[""(502) 485-6710"", ""(502) 485-6707""]",http://louisvilleky.gov/government/neighborhood-place,mailto:info@louisvilleky.gov,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EMPLOYMENT SERVICES,,
PROJECT ONE,2600 West Broadway Suite 301,Louisville KY,40211,"[""(502) 778-1003"", ""(502) 778-1009""]",http://www.project1inc.org,mailto:drking@project1inc.org,Target%20Populations,Children/Youth,Job%20Training%20Formats~,EDUCATIONAL SERVICES,,
